"gender","Age","Points"
"F",53,25
"M",55,12
"F",49,24
"M",53,10
"M",49,22
"F",38,21
"M",50,21
"F",37,31
"M",37,24
"F",42,26
"M",37,31
"F",34,31
"F",34,23
"F",34,25
"M",35,21
"F",33,31
"F",32,20
"F",44,22
"M",29,9
"F",30,24
"M",27,28
"M",29,30
"F",31,24
"F",37,9
"F",26,26
"F",26,32
"M",30,32
"F",33,33
"F",33,29
"M",28,30
"M",26,19
"F",27,23
"F",25,19
"F",31,12
"M",20,10
"F",39,11
"M",38,20
"M",24,26
"M",26,31
"M",25,20
"F",30,23
"F",25,12
"M",30,24
"F",48,17
"F",24,29
"F",40,23
"M",25,28
"F",23,31
"F",25,23
"F",23,25
"M",27,18
"M",25,19
"M",23,22
"F",23,25
"F",23,21
"F",45,9
"F",22,28
"F",23,25
"M",21,29
"M",21,33
"F",21,33
"F",21,25
"F",26,18
"F",25,22
"F",26,17
"M",21,25
"F",23,28
"F",22,22
"F",22,26
"F",22,11
"F",23,29
"M",22,22
"M",23,21
"M",24,28
"F",22,33
"F",23,16
"M",22,31
"M",20,22
"M",22,31
"M",21,23
"F",22,26
"F",23,12
"M",21,26
"M",22,31
"M",29,19
"F",29,30
"F",21,12
"M",28,17
"F",21,18
"F",30,19
"F",21,21
"M",23,24
"F",21,28
"F",21,17
"F",20,18
"M",22,17
"M",21,23
"M",21,26
"F",20,28
"M",22,31
"F",20,27
"F",20,25
"M",24,23
"F",20,21
"F",19,27
"F",21,28
"F",21,23
"F",22,21
"F",25,25
"F",21,11
"F",22,19
"F",25,24
"F",20,28
"M",24,21
"F",20,24
"M",21,24
"F",20,20
"F",20,19
"M",31,30
"F",20,22
"F",22,16
"F",22,16
"M",21,19
"M",22,30
"F",21,23
"F",21,19
"F",21,18
"F",21,28
"F",20,21
"F",21,19
"F",25,27
"M",21,24
"F",24,21
"F",20,20
"M",21,28
"F",20,12
"F",20,21
"F",18,28
"F",21,31
"F",19,18
"F",21,25
"F",20,19
"M",21,21
"F",20,16
"F",21,7
"F",20,21
"F",18,17
"M",22,22
"F",22,18
"M",24,25
"F",19,24
"F",20,23
"F",20,23
"F",17,26
"M",19,12
"F",20,32
"F",20,22
"F",20,20
"F",20,21
"F",19,23
"F",19,20
"F",22,28
"M",35,31
"F",18,18
"F",19,30
"M",21,19
